numero,nom_complet,fichier_photo,url_photo,taille_ko
66,"Sophie Blanc","066_Sophie_Blanc.png","https://datan.fr/assets/imgs/deputes_original/depute_794886.png","169.34"
67,"Christophe Blanchet","067_Christophe_Blanchet.png","https://datan.fr/assets/imgs/deputes_original/depute_719024.png","169.34"
68,"Anne-Laure Blin","068_Anne-Laure_Blin.png","https://datan.fr/assets/imgs/deputes_original/depute_774954.png","169.34"
69,"Frédéric Boccaletti","069_Frédéric_Boccaletti.png","https://datan.fr/assets/imgs/deputes_original/depute_796042.png","169.34"
70,"Philippe Bolo","070_Philippe_Bolo.png","https://datan.fr/assets/imgs/deputes_original/depute_720162.png","169.34"
71,"Manuel Bompard","071_Manuel_Bompard.png","https://datan.fr/assets/imgs/deputes_original/depute_793444.png","169.34"
72,"Sylvie Bonnet","072_Sylvie_Bonnet.png","https://datan.fr/assets/imgs/deputes_original/depute_719968.png","169.34"
73,"Émilie Bonnivard","073_Émilie_Bonnivard.png","https://datan.fr/assets/imgs/deputes_original/depute_721410.png","169.34"
74,"Jean-Yves Bony","074_Jean-Yves_Bony.png","https://datan.fr/assets/imgs/deputes_original/depute_266793.png","169.34"
75,"Benoît Bordat","075_Benoît_Bordat.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793500.png","15.19"
76,"Pascale Bordes","076_Pascale_Bordes.png","https://datan.fr/assets/imgs/deputes_original/depute_793844.png","169.34"
77,"Élisabeth Borne","077_Élisabeth_Borne.png","https://datan.fr/assets/imgs/deputes_original/depute_717161.png","169.34"
78,"Éric Bothorel","078_Éric_Bothorel.png","https://datan.fr/assets/imgs/deputes_original/depute_642695.png","169.34"
79,"Ian Boucard","079_Ian_Boucard.png","https://datan.fr/assets/imgs/deputes_original/depute_721816.png","169.34"
80,"Florent Boudié","080_Florent_Boudié.png","https://datan.fr/assets/imgs/deputes_original/depute_606507.png","169.34"
81,"Chantal Bouloux","081_Chantal_Bouloux.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793528.png","18.11"
82,"Mickaël Bouloux","082_Mickaël_Bouloux.png","https://datan.fr/assets/imgs/deputes_original/depute_794094.png","169.34"
83,"Idir Boumertit","083_Idir_Boumertit.png","https://datan.fr/assets/imgs/deputes_original/depute_794938.png","169.34"
84,"Jean-Luc Bourgeaux","084_Jean-Luc_Bourgeaux.png","https://datan.fr/assets/imgs/deputes_original/depute_342240.png","169.34"
85,"Jean-Louis Bourlanges","085_Jean-Louis_Bourlanges.png","https://datan.fr/assets/imgs/deputes_nobg/depute_721608.png","17.24"
86,"Soumya Bourouaha","086_Soumya_Bourouaha.png","https://datan.fr/assets/imgs/deputes_original/depute_720838.png","169.34"
87,"Bertrand Bouyx","087_Bertrand_Bouyx.png","https://datan.fr/assets/imgs/deputes_original/depute_719032.png","169.34"
88,"Jorys Bovet","088_Jorys_Bovet.png","https://datan.fr/assets/imgs/deputes_original/depute_793182.png","169.34"
89,"Louis Boyard","089_Louis_Boyard.png","https://datan.fr/assets/imgs/deputes_original/depute_795318.png","169.34"
90,"Pascale Boyer","090_Pascale_Boyer.png","https://datan.fr/assets/imgs/deputes_nobg/depute_718710.png","20.07"
91,"Yaël Braun-Pivet","091_Yaël_Braun-Pivet.png","https://datan.fr/assets/imgs/deputes_original/depute_721908.png","169.34"
92,"Maud Bregeon","092_Maud_Bregeon.png","https://datan.fr/assets/imgs/deputes_original/depute_795990.png","169.34"
93,"Xavier Breton","093_Xavier_Breton.png","https://datan.fr/assets/imgs/deputes_original/depute_330008.png","169.34"
94,"Guy Bricout","094_Guy_Bricout.png","https://datan.fr/assets/imgs/deputes_nobg/depute_267766.png","15.28"
95,"Jean-Louis Bricout","095_Jean-Louis_Bricout.png","https://datan.fr/assets/imgs/deputes_nobg/depute_605069.png","17.10"
96,"Hubert Brigand","096_Hubert_Brigand.png","https://datan.fr/assets/imgs/deputes_original/depute_793508.png","169.34"
97,"Blandine Brocard","097_Blandine_Brocard.png","https://datan.fr/assets/imgs/deputes_original/depute_721336.png","169.34"
98,"Anthony Brosse","098_Anthony_Brosse.png","https://datan.fr/assets/imgs/deputes_original/depute_794330.png","169.34"
99,"Moetai Brotherson","099_Moetai_Brotherson.png","https://datan.fr/assets/imgs/deputes_nobg/depute_721118.png","18.83"
100,"Vincent Bru","100_Vincent_Bru.png","https://datan.fr/assets/imgs/deputes_nobg/depute_720772.png","14.60"
101,"Anne Brugnera","101_Anne_Brugnera.png","https://datan.fr/assets/imgs/deputes_nobg/depute_721328.png","14.34"
102,"Danielle Brulebois","102_Danielle_Brulebois.png","https://datan.fr/assets/imgs/deputes_original/depute_719890.png","169.34"
103,"Fabrice Brun","103_Fabrice_Brun.png","https://datan.fr/assets/imgs/deputes_original/depute_718838.png","169.34"
104,"Philippe Brun","104_Philippe_Brun.png","https://datan.fr/assets/imgs/deputes_original/depute_793624.png","169.34"
105,"Stéphane Buchou","105_Stéphane_Buchou.png","https://datan.fr/assets/imgs/deputes_original/depute_722000.png","169.34"
106,"Françoise Buffet","106_Françoise_Buffet.png","https://datan.fr/assets/imgs/deputes_original/depute_794798.png","169.34"
107,"Jérôme Buisson","107_Jérôme_Buisson.png","https://datan.fr/assets/imgs/deputes_original/depute_793134.png","169.34"
108,"Frédéric Cabrolier","108_Frédéric_Cabrolier.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795836.png","15.12"
109,"Elie Califer","109_Elie_Califer.png","https://datan.fr/assets/imgs/deputes_original/depute_795762.png","169.34"
110,"Céline Calvez","110_Céline_Calvez.png","https://datan.fr/assets/imgs/deputes_original/depute_721750.png","169.34"
111,"Agnès Carel","111_Agnès_Carel.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795266.png","16.21"
112,"Eléonore Caroit","112_Eléonore_Caroit.png","https://datan.fr/assets/imgs/deputes_original/depute_795330.png","169.34"
113,"Aymeric Caron","113_Aymeric_Caron.png","https://datan.fr/assets/imgs/deputes_original/depute_796090.png","169.34"
114,"Sylvain Carrière","114_Sylvain_Carrière.png","https://datan.fr/assets/imgs/deputes_original/depute_793912.png","169.34"
115,"Michel Castellani","115_Michel_Castellani.png","https://datan.fr/assets/imgs/deputes_original/depute_719138.png","169.34"
116,"Jean-Victor Castor","116_Jean-Victor_Castor.png","https://datan.fr/assets/imgs/deputes_original/depute_795868.png","169.34"
117,"Victor Catteau","117_Victor_Catteau.png","https://datan.fr/assets/imgs/deputes_nobg/depute_794638.png","16.14"
118,"Lionel Causse","118_Lionel_Causse.png","https://datan.fr/assets/imgs/deputes_original/depute_719922.png","169.34"
119,"Thomas Cazenave","119_Thomas_Cazenave.png","https://datan.fr/assets/imgs/deputes_original/depute_793940.png","169.34"
120,"Jean-René Cazeneuve","120_Jean-René_Cazeneuve.png","https://datan.fr/assets/imgs/deputes_original/depute_719472.png","169.34"
121,"Pierre Cazeneuve","121_Pierre_Cazeneuve.png","https://datan.fr/assets/imgs/deputes_original/depute_795864.png","169.34"
122,"Steve Chailloux","122_Steve_Chailloux.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795192.png","19.16"
123,"Émilie Chandler","123_Émilie_Chandler.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795508.png","16.32"
124,"André Chassaigne","124_André_Chassaigne.png","https://datan.fr/assets/imgs/deputes_original/depute_267306.png","169.34"
125,"Clara Chassaniol","125_Clara_Chassaniol.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795068.png","17.94"
126,"Cyrielle Chatelain","126_Cyrielle_Chatelain.png","https://datan.fr/assets/imgs/deputes_original/depute_794008.png","169.34"
127,"Florian Chauche","127_Florian_Chauche.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795580.png","14.78"
128,"Yannick Chenevard","128_Yannick_Chenevard.png","https://datan.fr/assets/imgs/deputes_original/depute_795908.png","169.34"
129,"Sébastien Chenu","129_Sébastien_Chenu.png","https://datan.fr/assets/imgs/deputes_original/depute_720468.png","169.34"
130,"Sophia Chikirou","130_Sophia_Chikirou.png","https://datan.fr/assets/imgs/deputes_original/depute_791812.png","169.34"
131,"Paul Christophe","131_Paul_Christophe.png","https://datan.fr/assets/imgs/deputes_original/depute_642868.png","169.34"
132,"Roger Chudeau","132_Roger_Chudeau.png","https://datan.fr/assets/imgs/deputes_original/depute_794198.png","169.34"
133,"Dino Cinieri","133_Dino_Cinieri.png","https://datan.fr/assets/imgs/deputes_nobg/depute_267429.png","15.74"
134,"Éric Ciotti","134_Éric_Ciotti.png","https://datan.fr/assets/imgs/deputes_original/depute_330240.png","169.34"
135,"Mireille Clapot","135_Mireille_Clapot.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719294.png","21.38"
136,"Hadrien Clouet","136_Hadrien_Clouet.png","https://datan.fr/assets/imgs/deputes_original/depute_793736.png","169.34"
137,"Fabienne Colboc","137_Fabienne_Colboc.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719814.png","21.04"
138,"Claire Colomb-Pitollat","138_Claire_Colomb-Pitollat.png","https://datan.fr/assets/imgs/deputes_nobg/depute_718910.png","19.58"
139,"Paul-André Colombani","139_Paul-André_Colombani.png","https://datan.fr/assets/imgs/deputes_original/depute_719286.png","169.34"
140,"Caroline Colombier","140_Caroline_Colombier.png","https://datan.fr/assets/imgs/deputes_original/depute_793548.png","169.34"
141,"Éric Coquerel","141_Éric_Coquerel.png","https://datan.fr/assets/imgs/deputes_original/depute_721202.png","169.34"
142,"Alexis Corbière","142_Alexis_Corbière.png","https://datan.fr/assets/imgs/deputes_original/depute_721210.png","169.34"
143,"Pierre Cordier","143_Pierre_Cordier.png","https://datan.fr/assets/imgs/deputes_original/depute_718850.png","169.34"
144,"François Cormier-Bouligeon","144_François_Cormier-Bouligeon.png","https://datan.fr/assets/imgs/deputes_original/depute_719118.png","169.34"
145,"Josiane Corneloup","145_Josiane_Corneloup.png","https://datan.fr/assets/imgs/deputes_original/depute_722390.png","169.34"
146,"Mickaël Cosson","146_Mickaël_Cosson.png","https://datan.fr/assets/imgs/deputes_original/depute_793520.png","169.34"
147,"Bérangère Couillard","147_Bérangère_Couillard.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719624.png","19.14"
148,"Jean-François Coulomme","148_Jean-François_Coulomme.png","https://datan.fr/assets/imgs/deputes_original/depute_795136.png","169.34"
149,"Annick Cousin","149_Annick_Cousin.png","https://datan.fr/assets/imgs/deputes_nobg/depute_794222.png","19.71"
150,"Catherine Couturier","150_Catherine_Couturier.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793680.png","17.54"
151,"Laurence Cristol","151_Laurence_Cristol.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793876.png","19.50"
152,"Laurent Croizier","152_Laurent_Croizier.png","https://datan.fr/assets/imgs/deputes_original/depute_793716.png","169.34"
153,"Jean-Pierre Cubertafon","153_Jean-Pierre_Cubertafon.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719266.png","15.40"
154,"Christelle D'Intorni","154_Christelle_D'Intorni.png","https://datan.fr/assets/imgs/deputes_original/depute_793322.png","169.34"
155,"Nathalie Da Conceicao Carvalho","155_Nathalie_Da_Conceicao_Carvalho.png","https://datan.fr/assets/imgs/deputes_original/depute_795644.png","169.34"
156,"Dominique Da Silva","156_Dominique_Da_Silva.png","https://datan.fr/assets/imgs/deputes_nobg/depute_720932.png","15.47"
157,"Marie-Christine Dalloz","157_Marie-Christine_Dalloz.png","https://datan.fr/assets/imgs/deputes_original/depute_332523.png","169.34"
158,"Gérald Darmanin","158_Gérald_Darmanin.png","https://datan.fr/assets/imgs/deputes_original/depute_607846.png","169.34"
159,"Geneviève Darrieussecq","159_Geneviève_Darrieussecq.png","https://datan.fr/assets/imgs/deputes_original/depute_719914.png","169.34"
160,"Romain Daubié","160_Romain_Daubié.png","https://datan.fr/assets/imgs/deputes_original/depute_793122.png","169.34"
161,"Hendrik Davi","161_Hendrik_Davi.png","https://datan.fr/assets/imgs/deputes_original/depute_793452.png","169.34"
162,"Alain David","162_Alain_David.png","https://datan.fr/assets/imgs/deputes_original/depute_1008.png","169.34"
163,"Charles de Courson","163_Charles_de_Courson.png","https://datan.fr/assets/imgs/deputes_original/depute_942.png","169.34"
164,"Grégoire de Fournas","164_Grégoire_de_Fournas.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793964.png","14.70"
165,"Hervé de Lépinau","165_Hervé_de_Lépinau.png","https://datan.fr/assets/imgs/deputes_original/depute_642988.png","169.34"
166,"Véronique de Montchalin","166_Véronique_de_Montchalin.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719376.png","16.79"
167,"Christine Decodts","167_Christine_Decodts.png","https://datan.fr/assets/imgs/deputes_nobg/depute_794510.png","18.30"
168,"Arthur Delaporte","168_Arthur_Delaporte.png","https://datan.fr/assets/imgs/deputes_original/depute_793394.png","169.34"
169,"Stéphane Delautrette","169_Stéphane_Delautrette.png","https://datan.fr/assets/imgs/deputes_original/depute_795430.png","169.34"
170,"Sébastien Delogu","170_Sébastien_Delogu.png","https://datan.fr/assets/imgs/deputes_original/depute_793464.png","169.34"
171,"Julie Delpech","171_Julie_Delpech.png","https://datan.fr/assets/imgs/deputes_original/depute_794982.png","169.34"
172,"Béatrice Descamps","172_Béatrice_Descamps.png","https://datan.fr/assets/imgs/deputes_nobg/depute_720696.png","17.98"
173,"Vincent Descoeur","173_Vincent_Descoeur.png","https://datan.fr/assets/imgs/deputes_original/depute_330909.png","169.34"
174,"Frédéric Descrozaille","174_Frédéric_Descrozaille.png","https://datan.fr/assets/imgs/deputes_nobg/depute_720862.png","16.08"
175,"Mathilde Desjonquères","175_Mathilde_Desjonquères.png","https://datan.fr/assets/imgs/deputes_nobg/depute_794194.png","16.28"
176,"Jocelyn Dessigny","176_Jocelyn_Dessigny.png","https://datan.fr/assets/imgs/deputes_original/depute_793166.png","169.34"
177,"Pierre Dharréville","177_Pierre_Dharréville.png","https://datan.fr/assets/imgs/deputes_nobg/depute_718926.png","14.36"
178,"Fabien Di Filippo","178_Fabien_Di_Filippo.png","https://datan.fr/assets/imgs/deputes_original/depute_720386.png","169.34"
179,"Edwige Diaz","179_Edwige_Diaz.png","https://datan.fr/assets/imgs/deputes_original/depute_793928.png","169.34"
180,"Benjamin Dirx","180_Benjamin_Dirx.png","https://datan.fr/assets/imgs/deputes_original/depute_722382.png","169.34"
181,"Julien Dive","181_Julien_Dive.png","https://datan.fr/assets/imgs/deputes_original/depute_712015.png","169.34"
182,"Sandrine Dogor-Such","182_Sandrine_Dogor-Such.png","https://datan.fr/assets/imgs/deputes_original/depute_794762.png","169.34"
183,"Ingrid Dordain","183_Ingrid_Dordain.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795774.png","18.79"
184,"Nicolas Dragon","184_Nicolas_Dragon.png","https://datan.fr/assets/imgs/deputes_original/depute_793146.png","169.34"
185,"Francis Dubois","185_Francis_Dubois.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793476.png","17.16"
186,"Nicole Dubré-Chirat","186_Nicole_Dubré-Chirat.png","https://datan.fr/assets/imgs/deputes_original/depute_720154.png","169.34"
187,"Virginie Duby-Muller","187_Virginie_Duby-Muller.png","https://datan.fr/assets/imgs/deputes_original/depute_608826.png","169.34"
188,"Alma Dufour","188_Alma_Dufour.png","https://datan.fr/assets/imgs/deputes_original/depute_795200.png","169.34"
189,"Pierre-Henri Dumont","189_Pierre-Henri_Dumont.png","https://datan.fr/assets/imgs/deputes_nobg/depute_720684.png","15.06"
190,"Philippe Dunoyer","190_Philippe_Dunoyer.png","https://datan.fr/assets/imgs/deputes_nobg/depute_721094.png","15.70"
191,"Stella Dupont","191_Stella_Dupont.png","https://datan.fr/assets/imgs/deputes_original/depute_643175.png","169.34"
192,"Nicolas Dupont-Aignan","192_Nicolas_Dupont-Aignan.png","https://datan.fr/assets/imgs/deputes_nobg/depute_1206.png","15.35"
193,"Olivier Dussopt","193_Olivier_Dussopt.png","https://datan.fr/assets/imgs/deputes_nobg/depute_330357.png","13.98"
194,"Inaki Echaniz","194_Inaki_Echaniz.png","https://datan.fr/assets/imgs/deputes_original/depute_794854.png","169.34"
195,"Sarah El Haïry","195_Sarah_El_Haïry.png","https://datan.fr/assets/imgs/deputes_nobg/depute_720002.png","19.52"
196,"Philippe Emmanuel","196_Philippe_Emmanuel.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795688.png","15.31"
197,"Christine Engrand","197_Christine_Engrand.png","https://datan.fr/assets/imgs/deputes_original/depute_794718.png","169.34"
198,"Karen Erodi","198_Karen_Erodi.png","https://datan.fr/assets/imgs/deputes_original/depute_795844.png","169.34"
199,"Sophie Errante","199_Sophie_Errante.png","https://datan.fr/assets/imgs/deputes_original/depute_607193.png","169.34"
200,"Laurent Esquenet-Goxes","200_Laurent_Esquenet-Goxes.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793792.png","13.83"
201,"Martine Etienne","201_Martine_Etienne.png","https://datan.fr/assets/imgs/deputes_nobg/depute_794458.png","15.98"
202,"Philippe Fait","202_Philippe_Fait.png","https://datan.fr/assets/imgs/deputes_original/depute_794658.png","169.34"
203,"Frédéric Falcon","203_Frédéric_Falcon.png","https://datan.fr/assets/imgs/deputes_original/depute_793246.png","169.34"
204,"Olivier Falorni","204_Olivier_Falorni.png","https://datan.fr/assets/imgs/deputes_original/depute_605694.png","169.34"
205,"Elsa Faucillon","205_Elsa_Faucillon.png","https://datan.fr/assets/imgs/deputes_original/depute_721896.png","169.34"
206,"Dominique Faure","206_Dominique_Faure.png","https://datan.fr/assets/imgs/deputes_nobg/depute_793788.png","21.25"
207,"Olivier Faure","207_Olivier_Faure.png","https://datan.fr/assets/imgs/deputes_original/depute_609332.png","169.34"
208,"Yannick Favennec-Bécot","208_Yannick_Favennec-Bécot.png","https://datan.fr/assets/imgs/deputes_original/depute_267042.png","169.34"
209,"Emmanuel Fernandes","209_Emmanuel_Fernandes.png","https://datan.fr/assets/imgs/deputes_original/depute_794786.png","169.34"
210,"Marc Ferracci","210_Marc_Ferracci.png","https://datan.fr/assets/imgs/deputes_original/depute_795884.png","169.34"
211,"Marina Ferrari","211_Marina_Ferrari.png","https://datan.fr/assets/imgs/deputes_original/depute_795120.png","169.34"
212,"Sylvie Ferrer","212_Sylvie_Ferrer.png","https://datan.fr/assets/imgs/deputes_original/depute_794870.png","169.34"
213,"Marc Fesneau","213_Marc_Fesneau.png","https://datan.fr/assets/imgs/deputes_original/depute_719938.png","169.34"
214,"Caroline Fiat","214_Caroline_Fiat.png","https://datan.fr/assets/imgs/deputes_nobg/depute_720286.png","15.78"
215,"Jean-Marie Fiévet","215_Jean-Marie_Fiévet.png","https://datan.fr/assets/imgs/deputes_original/depute_722134.png","169.34"
216,"Agnès Firmin Le Bodo","216_Agnès_Firmin_Le_Bodo.png","https://datan.fr/assets/imgs/deputes_original/depute_267780.png","169.34"
217,"Estelle Folest","217_Estelle_Folest.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795604.png","19.60"
